t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
1.496e-06,6.9654e-06,0.895292,273.866,74818.9,54113.6,6.9654e-06,-4.38862e-05
1.506e-06,6.97434e-06,0.892817,273.919,74545.9,53897.9,6.97434e-06,-4.3821e-05
1.516e-06,6.98325e-06,0.890314,273.974,74275.5,53684,6.98325e-06,-4.37518e-05
1.526e-06,6.99214e-06,0.887785,274.031,74007.7,53472.1,6.99214e-06,-4.36786e-05
1.536e-06,7.00101e-06,0.88523,274.088,73742.4,53262,7.00101e-06,-4.36017e-05
1.546e-06,7.00985e-06,0.88265,274.148,73479.5,53053.8,7.00985e-06,-4.35211e-05
1.556e-06,7.01866e-06,0.880045,274.208,73219.1,52847.5,7.01866e-06,-4.3437e-05
1.566e-06,7.02745e-06,0.877417,274.27,72961.2,52643.1,7.02745e-06,-4.33494e-05
1.576e-06,7.03621e-06,0.874765,274.333,72705.6,52440.7,7.03621e-06,-4.32585e-05
1.586e-06,7.04494e-06,0.872091,274.397,72452.4,52240.2,7.04494e-06,-4.31644e-05
1.596e-06,7.05365e-06,0.869395,274.463,72201.5,52041.6,7.05365e-06,-4.30672e-05
1.606e-06,7.06233e-06,0.866677,274.529,71952.9,51845,7.06233e-06,-4.29669e-05
1.616e-06,7.07099e-06,0.863937,274.596,71706.6,51650.3,7.07099e-06,-4.28637e-05
1.626e-06,7.07961e-06,0.861177,274.665,71462.5,51457.6,7.07961e-06,-4.27577e-05
1.636e-06,7.08821e-06,0.858395,274.734,71220.7,51266.8,7.08821e-06,-4.2649e-05
1.646e-06,7.09678e-06,0.855593,274.805,70981,51078,7.09678e-06,-4.25375e-05
1.656e-06,7.10532e-06,0.852771,274.876,70743.6,50891.3,7.10532e-06,-4.24236e-05
1.666e-06,7.11383e-06,0.849928,274.948,70508.2,50706.5,7.11383e-06,-4.23071e-05
1.676e-06,7.12232e-06,0.847065,275.02,70275.1,50523.7,7.12232e-06,-4.21882e-05
1.686e-06,7.13078e-06,0.844181,275.094,70044,50342.9,7.13078e-06,-4.2067e-05
1.696e-06,7.1392e-06,0.841278,275.168,69815,50164.1,7.1392e-06,-4.19436e-05
1.706e-06,7.1476e-06,0.838354,275.243,69588,49987.3,7.1476e-06,-4.18179e-05
1.716e-06,7.15597e-06,0.835409,275.319,69363.1,49812.6,7.15597e-06,-4.16901e-05
1.726e-06,7.16431e-06,0.832445,275.395,69140.2,49639.9,7.16431e-06,-4.15603e-05
1.736e-06,7.17262e-06,0.829459,275.472,68919.4,49469.2,7.17262e-06,-4.14285e-05
1.746e-06,7.1809e-06,0.826452,275.549,68700.5,49300.6,7.1809e-06,-4.12948e-05
1.756e-06,7.18915e-06,0.823425,275.627,68483.5,49134,7.18915e-06,-4.11592e-05
1.766e-06,7.19737e-06,0.820375,275.706,68268.5,48969.5,7.19737e-06,-4.10217e-05
1.776e-06,7.20555e-06,0.817304,275.785,68055.4,48807.1,7.20555e-06,-4.08825e-05
1.786e-06,7.21371e-06,0.814211,275.864,67844.3,48646.7,7.21371e-06,-4.07416e-05
1.796e-06,7.22184e-06,0.811096,275.944,67635,48488.5,7.22184e-06,-4.0599e-05
1.806e-06,7.22993e-06,0.807957,276.024,67427.6,48332.3,7.22993e-06,-4.04548e-05
1.816e-06,7.238e-06,0.804795,276.105,67222.1,48178.2,7.238e-06,-4.0309e-05
1.826e-06,7.24603e-06,0.80161,276.186,67018.4,48026.2,7.24603e-06,-4.01617e-05
1.836e-06,7.25403e-06,0.7984,276.268,66816.6,47876.3,7.25403e-06,-4.00128e-05
1.846e-06,7.262e-06,0.795166,276.349,66616.5,47728.5,7.262e-06,-3.98625e-05
1.856e-06,7.26993e-06,0.791906,276.432,66418.3,47582.8,7.26993e-06,-3.97107e-05
1.866e-06,7.27784e-06,0.788621,276.514,66221.9,47439.2,7.27784e-06,-3.95576e-05
1.876e-06,7.28571e-06,0.785309,276.597,66027.3,47297.8,7.28571e-06,-3.9403e-05
1.886e-06,7.29354e-06,0.78197,276.68,65834.4,47158.5,7.29354e-06,-3.92472e-05
1.896e-06,7.30135e-06,0.778603,276.764,65643.3,47021.4,7.30135e-06,-3.90899e-05
1.906e-06,7.30911e-06,0.775209,276.848,65453.9,46886.4,7.30911e-06,-3.89314e-05
1.916e-06,7.31685e-06,0.771785,276.932,65266.3,46753.5,7.31685e-06,-3.87716e-05
1.926e-06,7.32455e-06,0.768333,277.016,65080.4,46622.8,7.32455e-06,-3.86105e-05
1.936e-06,7.33222e-06,0.764849,277.101,64896.3,46494.2,7.33222e-06,-3.84482e-05
1.946e-06,7.33985e-06,0.761335,277.186,64713.8,46367.9,7.33985e-06,-3.82846e-05
1.956e-06,7.34744e-06,0.75779,277.271,64533.1,46243.6,7.34744e-06,-3.81199e-05
1.966e-06,7.355e-06,0.754212,277.356,64354,46121.6,7.355e-06,-3.79539e-05
1.976e-06,7.36253e-06,0.750601,277.442,64176.7,46001.7,7.36253e-06,-3.77867e-05
1.986e-06,7.37001e-06,0.746956,277.528,64001,45884.1,7.37001e-06,-3.76183e-05
1.996e-06,7.37747e-06,0.743277,277.614,63827.1,45768.6,7.37747e-06,-3.74487e-05
2.006e-06,7.38488e-06,0.739562,277.7,63654.7,45655.3,7.38488e-06,-3.7278e-05
2.016e-06,7.39226e-06,0.735811,277.787,63484.1,45544.2,7.39226e-06,-3.7106e-05
2.026e-06,7.3996e-06,0.732024,277.874,63315.1,45435.3,7.3996e-06,-3.69329e-05
2.036e-06,7.4069e-06,0.728198,277.961,63147.8,45328.6,7.4069e-06,-3.67586e-05
2.046e-06,7.41416e-06,0.724334,278.048,62982.1,45224.1,7.41416e-06,-3.65831e-05
2.056e-06,7.42138e-06,0.720431,278.136,62818.1,45121.9,7.42138e-06,-3.64065e-05
2.066e-06,7.42857e-06,0.716487,278.223,62655.7,45021.8,7.42857e-06,-3.62286e-05
2.076e-06,7.43571e-06,0.712502,278.311,62495,44924,7.43571e-06,-3.60496e-05
2.086e-06,7.44282e-06,0.708476,278.4,62335.9,44828.4,7.44282e-06,-3.58694e-05
2.096e-06,7.44988e-06,0.704407,278.488,62178.5,44735,7.44988e-06,-3.56879e-05
2.106e-06,7.45691e-06,0.700294,278.577,62022.6,44643.9,7.45691e-06,-3.55053e-05
2.116e-06,7.46389e-06,0.696137,278.666,61868.5,44555,7.46389e-06,-3.53214e-05
2.126e-06,7.47083e-06,0.691934,278.755,61715.9,44468.4,7.47083e-06,-3.51363e-05
2.136e-06,7.47773e-06,0.687685,278.845,61565,44384,7.47773e-06,-3.49499e-05
2.146e-06,7.48458e-06,0.683389,278.935,61415.7,44301.8,7.48458e-06,-3.47623e-05
2.156e-06,7.49139e-06,0.679045,279.025,61268,44221.9,7.49139e-06,-3.45734e-05
2.166e-06,7.49816e-06,0.674653,279.115,61122,44144.3,7.49816e-06,-3.43832e-05
2.176e-06,7.50489e-06,0.67021,279.206,60977.6,44068.9,7.50489e-06,-3.41917e-05
2.186e-06,7.51157e-06,0.665717,279.297,60834.9,43995.7,7.51157e-06,-3.39989e-05
2.196e-06,7.5182e-06,0.661173,279.388,60693.7,43924.9,7.5182e-06,-3.38047e-05
2.206e-06,7.52479e-06,0.656576,279.48,60554.2,43856.3,7.52479e-06,-3.36092e-05
2.216e-06,7.53133e-06,0.651926,279.572,60416.4,43789.9,7.53133e-06,-3.34123e-05
2.226e-06,7.53783e-06,0.647222,279.664,60280.1,43725.8,7.53783e-06,-3.3214e-05
