t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
1.706e-06,5.7471e-06,-0.0408345,296.231,144119,119250,5.7471e-06,5.78548e-06
1.716e-06,5.74669e-06,-0.0412074,296.175,144122,119311,5.74669e-06,5.6789e-06
1.726e-06,5.74628e-06,-0.0416802,296.12,144127,119372,5.74628e-06,5.57653e-06
1.736e-06,5.74586e-06,-0.0422492,296.068,144133,119431,5.74586e-06,5.47841e-06
1.746e-06,5.74543e-06,-0.0429103,296.018,144141,119490,5.74543e-06,5.3846e-06
1.756e-06,5.745e-06,-0.0436594,295.971,144150,119548,5.745e-06,5.29511e-06
1.766e-06,5.74456e-06,-0.0444922,295.926,144162,119606,5.74456e-06,5.20998e-06
1.776e-06,5.74411e-06,-0.0454043,295.883,144175,119662,5.74411e-06,5.12922e-06
1.786e-06,5.74365e-06,-0.0463912,295.843,144189,119718,5.74365e-06,5.05285e-06
1.796e-06,5.74318e-06,-0.0474485,295.804,144206,119774,5.74318e-06,4.98084e-06
1.806e-06,5.7427e-06,-0.0485714,295.769,144225,119828,5.7427e-06,4.91321e-06
1.816e-06,5.74221e-06,-0.0497553,295.735,144246,119882,5.74221e-06,4.84992e-06
1.826e-06,5.74171e-06,-0.0509953,295.704,144268,119935,5.74171e-06,4.79096e-06
1.836e-06,5.74119e-06,-0.0522867,295.675,144293,119987,5.74119e-06,4.73628e-06
1.846e-06,5.74066e-06,-0.0536245,295.648,144320,120039,5.74066e-06,4.68583e-06
1.856e-06,5.74012e-06,-0.0550038,295.624,144349,120090,5.74012e-06,4.63958e-06
1.866e-06,5.73956e-06,-0.0564198,295.602,144380,120140,5.73956e-06,4.59746e-06
1.876e-06,5.73899e-06,-0.0578673,295.582,144414,120189,5.73899e-06,4.5594e-06
1.886e-06,5.7384e-06,-0.0593416,295.564,144449,120238,5.7384e-06,4.52534e-06
1.896e-06,5.7378e-06,-0.0608376,295.548,144487,120286,5.7378e-06,4.49518e-06
1.906e-06,5.73719e-06,-0.0623504,295.534,144527,120333,5.73719e-06,4.46884e-06
1.916e-06,5.73655e-06,-0.063875,295.522,144569,120379,5.73655e-06,4.44623e-06
1.926e-06,5.73591e-06,-0.0654066,295.512,144613,120425,5.73591e-06,4.42725e-06
